Event Number,CAR
280,0.097748715
281,-0.110381189
282,-0.0338762
283,0.089397507
284,0.075729621
285,-0.048272478
286,0.014476176
287,0.095395625
288,0.011733481
289,-0.127306658
290,-0.105023583
291,0.082886207
292,0.05258389
293,-0.220684934
294,0.065666517
295,-0.157536898
296,0.038068582
297,-0.020788458
298,0.07245112
299,0.132626473
300,0.072688953
301,0.194196535
302,-0.03572759
303,0.018609829
304,-0.107619054
305,-0.085185458
306,0.097343535
307,-0.034051164
308,-0.044926788
309,0.017453407
310,-0.071823844
311,-0.018575203
312,0.101927388
313,-0.038707777
314,0.009150175
315,0.017034926
316,-0.018641709
317,-0.032230924
318,0.167690222
319,-0.091032599
320,-0.097980456
321,-0.203010724
322,-0.00864136
323,0.027262648
324,0.126235908
325,-0.041663294
326,0.016379862
327,-0.025851956
328,-0.121738732
329,0.024057021
330,-0.021192501
331,0.073886075
332,-0.066734425
333,0.044815896
334,-0.008822009
335,-2.33296E-05
336,-0.113881152
337,0.085280907
338,0.172082627
339,-0.002355842
340,0.0895644
341,-0.030579282
342,0.090173988
343,-0.01016681
344,-0.027512125
345,0.095592076
346,0.12293035
347,-0.047367531
348,0.044624561
349,0.025760163
350,0.053845359
351,0.152867732
352,-0.054248541
353,-0.081659347
354,-0.04712606
355,0.201697138
356,0.075498382
357,0.110130576
358,-0.070604325
359,-0.013500449
360,0.148568551
361,0.097327619
362,0.08248512
363,0.045922524
364,-0.146813728
365,0.067364998
366,-0.142534101
367,-0.041685918
368,-0.113566695
369,-0.003219749
370,-0.08982479
371,-0.097147587
372,-0.15413175
373,-0.222272912
374,0.028342901
375,0.004939556
376,0.138055247
377,0.165779374
378,0.053959501
379,-0.16665049
380,-0.00827995
381,0.094726009
382,0.000794647
383,-0.009990368
384,-0.074655101
385,-0.121456334
386,-0.122041594
387,-0.03459959
388,-0.032857453
389,0.055441068
390,-0.172087904
391,-0.120794904
392,0.093268544
393,-0.0331901
394,0.109523488
395,-0.120315827
396,0.099775751
397,0.147182026
398,-0.04543008
399,0.006921572
400,-0.021584266
401,0.018869831
402,0.055615236
403,-0.066991357
404,0.077162985
405,0.064875939
406,-0.169724127
407,0.038304255
408,-0.056935188
409,0.046022796
410,0.049938966
411,0.057516421
412,-0.045865046
413,0.134738774
414,-0.136406153
415,-0.155038516
416,0.040329927
417,0.064090135
418,-0.203229002
419,-0.133423465
420,-0.101043407
421,0.060977162
422,-0.1344446
423,-0.084051204
424,0.04438093
425,0.073600721
426,-0.112438239
427,-0.030595994
428,0.053096391
429,0.034220283
430,0.072918373
431,0.017902015
432,0.187755494
433,-0.027913894
434,-0.092061465
